I collected and manually labeled 200 examples from r/Games. The dataset was balanced with 50 examples per label to reduce bias during training.
text,label,notes
"BREKEKEKEX Announcement Trailer. Action brawler reveal featuring melee-focused combat, frog-themed setting, unique animation style, and community discussion centered on the unusual title and gameplay design.",Announcement,Official game announcement trailer
"Starpath Announcement Trailer. Space exploration game reveal focused on realistic astronaut simulation, ship building, survival mechanics, and community discussion about gameplay goals and Valheim developer involvement.",Announcement,Official game announcement trailer
"Echoes from the Deep Announcement Trailer. Underwater exploration survival game reveal published by Raw Fury, featuring bioluminescent creatures, innovative oxygen mechanics, and discussion about immersive environmental storytelling.",Announcement,Official game announcement trailer 
"Vivarium Official Announce Trailer. Cozy life-simulation game reveal featuring mysterious undertones, community speculation about hidden horror elements, and discussion around its eerie atmosphere beneath a wholesome presentation.",Announcement,Official game announcement trailer
"Trine 6 Together in Time Announcement Trailer. Puzzle-platformer sequel reveal generating discussion about previous Trine entries, cooperative gameplay, physics-based puzzles, and excitement for new characters and mechanics.",Announcement,Official game announcement trailer
"Supreme Experiment Official Announcement Trailer. Science-fiction immersive simulation reveal showcasing cinematic visuals, generating discussion about the developer's lack of game development experience, project legitimacy, and ambitious narrative goals.",Announcement,Official game announcement trailer
"Crystal Project II Announcement Trailer. JRPG sequel reveal focused on exploration, job-class systems, character builds, and community praise for the original game's mechanics, customization, and world design.",Announcement,Official game announcement trailer 
"Reverse Collapse Official Announcement Trailer. Tactical sci-fi action game reveal set in the Girls' Frontline universe, generating discussion about anime character designs, worldbuilding, lore explanations, and contrasting visual styles.",Announcement,Official game announcement trailer 
"Neon Odyssey Announcement Trailer. Cyberpunk action platformer reveal from indie studio Synthwave Games, featuring retro-futuristic visuals, parkour-focused movement, and neon-soaked dystopian worldbuilding.",Announcement,Official game announcement trailer
"[E3 2021] Stranger of Paradise: Final Fantasy Origin Announcement Teaser Trailer. Reveal of a darker Final Fantasy action RPG that sparked widespread discussion about its protagonist, heavy use of the word 'Chaos', and its resemblance to seventh-generation action games.",Announcement,Official game announcement trailer
Prove You're Human Announcement Trailer. New project from the creators of 1000xRESIST that generated excitement due to the developer's reputation for emotionally impactful storytelling and experimental narrative design.,Announcement,Official game announcement trailer 
"If you want something easier than XCOM, Mario + Rabbids Kingdom Battle is probably the closest recommendation I'd give.",Discussion,Strategy game recommendation
I finally finished Clair Obscur: Expedition 33 this week. The soundtrack was incredible and the combat stayed engaging all the way through the ending.,Review_Critique,Player sharing impressions from What Have You Been Playing thread
I started Resident Evil 4 Remake recently and I'm surprised how well it balances action and horror compared to many modern survival horror games.,Review_Critique,Player discussing recent gameplay experience
Alan Wake 2 has been my obsession this past month. The psychological horror paired with the Remedy gunplay mechanics creates something genuinely unsettling.,Review_Critique,Player discussing recent gameplay experience
"Vampire Survivors: Legacy of the Bloodmoon Expansion Announcement Trailer reveals new DLC content for Vampire Survivors, prompting discussion about vampires, future updates, paid expansions, and the game's value.",Announcement,Expansion announcement trailer
Engine of Sin Announcement Trailer reveals a mech game where players operate and manage systems from inside the machine.,Announcement,Official game announcement trailer
Dead or Alive 6 Last Round Announcement Trailer reveals an updated definitive edition of Dead or Alive 6 for PS5.,Announcement,Definitive edition announcement trailer
"Injustice 2 Announce Trailer reveals the sequel to Injustice and introduces new armor mechanics, characters, and platform discussion.",Announcement,Official sequel announcement trailer
